# query 1
100 qid:1 1:1.0 2:0.20645 3:1.0 4:0.129378 5:1.0 6:0.94021 7:1.0 8:0.352878713232 9:19 10:5.0 11:3.0 12:1.0 13:0.272727272727 14:13.0683394027 15:5.14947616542 16:2.61366788054 17:1.71649205514 18:0
80 qid:1 1:0.00705017 2:0.116245 3:0.261299 4:0.269001 5:0.441741 6:0.308841 7:0.0433561123401 8:0.224252713373 9:20 10:1.0 11:2.0 12:0.2 13:0.133333333333 14:0.552541023029 15:4.01197264167 16:0.552541023029 17:2.00598632083 18:26
20 qid:1 1:0.0071251 2:0.0258913 3:0.701451 4:0.129089 5:0.53156 6:0.844612 7:-0.0231927943226 8:0.352878713232 9:17 10:1.0 11:2.0 12:0.25 13:0.2 14:0.552541023029 15:1.69004454678 16:0.552541023029 17:0.845022273389 18:20
# query 2
100 qid:2 1:1.0 2:0.212596 3:1.0 4:0.992204 5:1.0 6:0.649483 7:1.0 8:0.978569674163 9:15 10:5.0 11:3.0 12:1.0 13:0.2 14:12.8984144012 15:5.56451366469 16:2.57968288025 17:1.85483788823 18:0
80 qid:2 1:0.00705017 2:0.0095314 3:0.261249 4:0.209785 5:0.441741 6:0.719561 7:0.272909783308 8:0.356152376288 9:13 10:1.0 11:1.0 12:0.2 13:0.0909090909091 14:0.552541023029 15:0.552541023029 16:0.552541023029 17:0.552541023029 18:26
20 qid:2 1:0.251721 2:0.00457559 3:0.999909 4:0.985863 5:0.459729 6:0.357023 7:1.0 8:-0.154109671934 9:9 10:2.0 11:1.0 12:0.333333333333 13:0.125 14:3.42701014094 15:0.552541023029 16:1.71350507047 17:0.552541023029 18:18
10 qid:2 1:0.274016 2:0.00575565 3:0.31935 4:0.235157 5:0.100686 6:0.309257 7:1.0 8:0.164499811495 9:10 10:1.0 11:1.0 12:0.25 13:0.125 14:2.87446911792 15:0.552541023029 16:2.87446911792 17:0.552541023029 18:15
# query 3
100 qid:3 1:1.0 2:0.0024218 3:1.0 4:0.981704 5:1.0 6:0.452219 7:1.0 8:-0.023520048215 9:11 10:4.0 11:1.0 12:1.0 13:0.047619047619 14:12.9308358789 15:0.552541023029 16:3.23270896974 17:0.552541023029 18:0
50 qid:3 1:0.00798881 2:0.00407525 3:0.999999 4:0.987574 5:0.458747 6:0.449337 7:-0.0290035262066 8:-0.0498601802955 9:11 10:1.0 11:1.0 12:0.166666666667 13:0.125 14:0.552541023029 15:0.552541023029 16:0.552541023029 17:0.552541023029 18:17
10 qid:3 1:0.00746244 2:0.00596344 3:0.334448 4:0.249972 5:0.750649 6:0.445567 7:-0.0300778447467 8:-0.023520048215 9:7 10:1.0 11:1.0 12:0.333333333333 13:0.166666666667 14:0.552541023029 15:0.552541023029 16:0.552541023029 17:0.552541023029 18:12
0 qid:3 1:0.0 2:0.0 3:0.315823 4:0.245145 5:0.0 6:0.0 7:-0.0300778447467 8:-0.183312480384 9:7 10:0.0 11:0.0 12:0.0 13:0.0 14:0 15:0 16:0.0 17:0.0 18:26
# query 4
100 qid:4 1:1.0 2:0.353727 3:1.0 4:0.244785 5:1.0 6:1.01705 7:1.0 8:0.530459134321 9:15 10:4.0 11:2.0 12:1.0 13:0.2 14:11.3458733782 15:4.01197264167 16:2.83646834455 17:2.00598632083 18:0
40 qid:4 1:0.00846769 2:0.00676677 3:0.371586 4:0.286113 5:0.717705 6:0.426013 7:0.206925479171 8:0.487656399143 9:7 10:1.0 11:1.0 12:0.333333333333 13:0.166666666667 14:0.552541023029 15:0.552541023029 16:0.552541023029 17:0.552541023029 18:14
5 qid:4 1:0.0 2:0.00581683 3:0.350962 4:0.268392 5:0.0 6:0.372138 7:0.507053493541 8:0.502095615167 9:12 10:0.0 11:1.0 12:0.0 13:0.125 14:0 15:0.552541023029 16:0.0 17:0.552541023029 18:18
# query 5
100 qid:5 1:1.0 2:0.00555002 3:1.0 4:0.987836 5:1.0 6:0.288547 7:1.0 8:-0.0906610434766 9:16 10:6.0 11:1.0 12:1.0 13:0.125 14:11.4509554243 15:0.552541023029 16:1.90849257071 17:0.552541023029 18:0
40 qid:5 1:0.399261 2:0.0450056 3:0.313752 4:0.230206 5:0.276786 6:0.409294 7:1.0 8:0.995658827468 9:16 10:2.0 11:2.0 12:0.5 13:0.25 14:4.16397573511 15:1.84204764022 16:2.08198786756 17:0.921023820112 18:15
5 qid:5 1:0.010163 2:0.0523555 3:0.333509 4:0.249133 5:0.482039 6:0.468548 7:0.324789788082 8:0.991260157142 9:12 10:1.0 11:2.0 12:0.333333333333 13:0.333333333333 14:0.552541023029 15:1.84204764022 16:0.552541023029 17:0.921023820112 18:18
# query 6
100 qid:6 1:1.0 2:0.35519 3:1.0 4:0.994108 5:1.0 6:0.736111 7:1.0 8:0.998636586533 9:15 10:4.0 11:3.0 12:1.0 13:0.375 14:9.08283897239 15:6.20836985447 16:2.2707097431 17:2.06945661816 18:0
30 qid:6 1:0.391416 2:0.325333 3:0.993749 4:0.988058 5:0.63935 6:0.792146 7:0.997710197865 8:0.993173442491 9:19 10:2.0 11:2.0 12:0.333333333333 13:0.142857142857 14:4.91886323727 15:4.91886323727 16:2.45943161864 17:2.45943161864 18:22
10 qid:6 1:0.399261 2:0.0 3:0.313756 4:0.19385 5:0.276786 6:0.0 7:1.0 8:-0.0830354643572 9:9 10:2.0 11:0.0 12:0.333333333333 13:0.0 14:4.16397573511 15:0 16:2.08198786756 17:0.0 18:15
# query 7
100 qid:7 1:1.0 2:0.631386 3:1.0 4:0.999083 5:1.0 6:0.980611 7:1.0 8:0.999616998825 9:38 10:6.0 11:6.0 12:1.0 13:0.428571428571 14:15.4346616169 15:15.4346616169 16:2.57244360282 17:2.57244360282 18:0
20 qid:7 1:0.391416 2:0.222507 3:0.993749 4:0.999995 5:0.63935 6:0.513056 7:0.9988339272 8:0.999596970103 9:15 10:2.0 11:2.0 12:0.5 13:0.25 14:4.91886323727 15:4.91886323727 16:2.45943161864 17:2.45943161864 18:22
5 qid:7 1:0.0370876 2:0.0 3:0.22775 4:0.112748 5:0.226398 6:0.0 7:0.9988339272 8:-0.0781481223236 9:15 10:1.0 11:0.0 12:0.166666666667 13:0.0 14:1.13750352375 15:0 16:1.13750352375 17:0.0 18:32
# query 8
100 qid:8 1:1.0 2:0.017879 3:1.0 4:0.191587 5:1.0 6:0.491609 7:1.0 8:0.995211753637 9:17 10:6.0 11:2.0 12:1.0 13:0.0952380952381 14:13.035917925 15:1.84204764022 16:2.1726529875 17:0.921023820112 18:0
80 qid:8 1:0.00854595 2:0.0440252 3:0.342473 4:0.255479 5:0.494509 6:0.480669 7:0.258140295997 8:0.995211753637 9:12 10:1.0 11:2.0 12:0.333333333333 13:0.333333333333 14:0.552541023029 15:1.84204764022 16:0.552541023029 17:0.921023820112 18:18
10 qid:8 1:0.0562464 2:0.0378448 3:0.321407 4:0.237554 5:0.203715 6:0.419882 7:0.996022902174 8:0.995373313869 9:16 10:1.0 11:2.0 12:0.25 13:0.25 14:1.28950661719 15:1.84204764022 16:1.28950661719 17:0.921023820112 18:18
# query 9
100 qid:9 1:1.0 2:0.233931 3:1.0 4:0.195689 5:1.0 6:0.544937 7:1.0 8:0.340516209443 9:17 10:4.0 11:2.0 12:1.0 13:0.285714285714 14:12.5157983797 15:4.59693514239 16:3.12894959492 17:2.29846757119 18:0
5 qid:9 1:0.0363654 2:0.171579 3:0.276166 4:0.160562 5:0.384577 6:0.0537694 7:0.329205701405 8:0.287177233413 9:11 10:1.0 11:1.0 12:0.166666666667 13:0.125 14:1.13750352375 15:3.45943161864 16:1.13750352375 17:3.45943161864 18:23
5 qid:9 1:0.0 2:0.0 3:0.252738 4:0.17107 5:0.0 6:0.0 7:0.329205701405 8:0.338377247888 9:10 10:0.0 11:0.0 12:0.0 13:0.0 14:0 15:0 16:0.0 17:0.0 18:21
